hc,wc,length,Tamb,Q,Uin,PressurePaPressureProbe3
1,1,30,20,1272,1,40.375
1,1,30,40,1272,1,42.045
1,1,30,-20,3132,1,38.603
1,1,30,0,3132,1,40.445
1,1,30,0,5040,1,43.771
1,1,30,20,5040,1,45.62
1,1,30,40,5040,1,47.452
1,1,30,0,1272,3.25,159.45
1,1,30,40,1272,3.25,168.08
1,1,30,-20,3132,3.25,156.07
1,1,30,20,3132,3.25,164.72
1,1,30,40,3132,3.25,169.25
1,1,30,-20,5040,3.25,158.25
1,1,30,0,5040,3.25,162.11
1,1,30,-20,1272,5.5,306.38
1,1,30,0,1272,5.5,311.96
1,1,30,20,1272,5.5,317.81
1,1,30,40,1272,5.5,323.76
1,1,30,-20,3132,5.5,311.33
1,1,30,0,3132,5.5,316.55
1,1,30,20,3132,5.5,322.09
1,1,30,40,3132,5.5,327.9
1,1,30,-20,5040,5.5,316.01
1,1,30,20,5040,5.5,325.96
1,1,30,40,5040,5.5,331.45
1,1,30,-20,1272,7.75,488.95
1,1,30,0,1272,7.75,493.51
1,1,30,20,1272,7.75,499.06
1,1,30,40,1272,7.75,505.3
1,1,30,20,3132,7.75,506.52
1,1,30,-20,5040,7.75,504.55
1,1,30,0,5040,7.75,508.47
1,1,30,20,5040,7.75,513.33
1,1,30,-20,1272,10,703.94
1,1,30,20,1272,10,708.55
1,1,30,40,1272,10,713.18
1,1,30,-20,3132,10,714.45
1,1,30,0,3132,10,715.54
1,1,30,20,3132,10,718.35
1,1,30,40,3132,10,722.76
1,1,30,-20,5040,10,724.36
1,1,30,0,5040,10,725.16
1,1,30,40,5040,10,731.75
1,1,60,-20,1272,1,75.116
1,1,60,0,1272,1,79.149
1,1,60,40,1272,1,86.557
1,1,60,-20,3132,1,84.889
1,1,60,0,3132,1,89.375
1,1,60,20,3132,1,93.725
1,1,60,-20,5040,1,98.245
1,1,60,20,5040,1,107.78
1,1,60,40,5040,1,112.32
1,1,60,-20,1272,3.25,287.18
1,1,60,0,1272,3.25,298.15
1,1,60,20,1272,3.25,308.86
1,1,60,40,1272,3.25,319.16
1,1,60,-20,3132,3.25,293.94
1,1,60,0,3132,3.25,305.28
1,1,60,20,3132,3.25,316.76
1,1,60,40,3132,3.25,328.16
1,1,60,-20,5040,3.25,304.01
1,1,60,0,5040,3.25,314.94
1,1,60,20,5040,3.25,326.32
1,1,60,40,5040,3.25,337.95
1,1,60,40,1272,5.5,591.03
1,1,60,-20,3132,5.5,557.1
1,1,60,0,3132,5.5,573.15
1,1,60,0,5040,5.5,587.14
1,1,60,20,5040,5.5,603.03
1,1,60,40,5040,5.5,619.12
1,1,60,-20,1272,7.75,837.84
1,1,60,0,1272,7.75,856.25
1,1,60,20,1272,7.75,876.07
1,1,60,40,1272,7.75,896.1
1,1,60,-20,3132,7.75,859.05
1,1,60,0,3132,7.75,877.43
1,1,60,20,3132,7.75,897.12
1,1,60,40,3132,7.75,917.16
1,1,60,-20,5040,7.75,879.02
1,1,60,0,5040,7.75,897.11
1,1,60,20,5040,7.75,916.79
1,1,60,40,5040,7.75,936.64
1,1,60,-20,1272,10,1174.3
1,1,60,0,1272,10,1193.4
1,1,60,20,1272,10,1214
1,1,60,40,1272,10,1236.1
1,1,60,-20,3132,10,1201.2
1,1,60,-20,5040,10,1226.5
1,1,60,0,5040,10,1244.9
1,1,60,20,5040,10,1265.3
1,1,60,40,5040,10,1287
1,1.25,30,0,1272,1,32.394
1,1.25,30,20,1272,1,33.791
1,1.25,30,40,1272,1,35.132
1,1.25,30,-20,3132,1,32.534
1,1.25,30,0,3132,1,33.951
1,1.25,30,20,3132,1,35.365
1,1.25,30,40,3132,1,36.771
1,1.25,30,-20,5040,1,35.431
1,1.25,30,20,5040,1,38.254
1,1.25,30,-20,1272,3.25,134.52
1,1.25,30,20,1272,3.25,141.23
1,1.25,30,40,1272,3.25,144.56
1,1.25,30,-20,3132,3.25,135.68
1,1.25,30,0,3132,3.25,138.84
1,1.25,30,20,3132,3.25,142.14
1,1.25,30,40,3132,3.25,145.51
1,1.25,30,-20,5040,3.25,137.82
1,1.25,30,0,5040,3.25,140.68
1,1.25,30,20,5040,3.25,143.68
1,1.25,30,-20,1272,5.5,270.24
1,1.25,30,20,1272,5.5,277.59
1,1.25,30,40,1272,5.5,281.77
1,1.25,30,-20,3132,5.5,274.39
1,1.25,30,0,3132,5.5,277.84
1,1.25,30,40,3132,5.5,285.78
1,1.25,30,-20,5040,5.5,278.07
1,1.25,30,0,5040,5.5,281.48
1,1.25,30,20,5040,5.5,285.21
1,1.25,30,-20,1272,7.75,437.85
1,1.25,30,20,1272,7.75,441.61
1,1.25,30,40,1272,7.75,444.91
1,1.25,30,-20,3132,7.75,444.48
1,1.25,30,20,3132,7.75,448.05
