hc,wc,length,Tamb,Q,Uin,TemperaturedegCStackTemperatureProbe1
1.25,0.75,30,0,1272,10,2.0624
1.25,0.75,30,40,1272,10,42.112
1.25,0.75,30,20,3132,10,25.139
1.25,0.75,30,40,3132,10,45.2
1.25,0.75,30,-20,5040,10,-11.89
1.25,0.75,30,40,5040,10,48.383
1.25,0.75,60,-20,1272,1,-2.6647
1.25,0.75,60,0,1272,1,18.472
1.25,0.75,60,20,1272,1,39.629
1.25,0.75,60,40,1272,1,60.798
1.25,0.75,60,-20,3132,1,22.899
1.25,0.75,60,0,3132,1,45.611
1.25,0.75,60,20,3132,1,68.377
1.25,0.75,60,-20,5040,1,48.859
1.25,0.75,60,0,5040,1,73.207
1.25,0.75,60,40,5040,1,122.1
1.25,0.75,60,20,1272,3.25,26.852
1.25,0.75,60,40,1272,3.25,47.143
1.25,0.75,60,-20,3132,3.25,-4.2483
1.25,0.75,60,0,3132,3.25,16.357
1.25,0.75,60,20,3132,3.25,36.997
1.25,0.75,60,40,3132,3.25,57.671
1.25,0.75,60,0,5040,3.25,26.599
1.25,0.75,60,20,5040,3.25,47.584
1.25,0.75,60,40,5040,3.25,68.62
1.25,0.75,60,-20,1272,5.5,-15.708
1.25,0.75,60,0,1272,5.5,4.4309
1.25,0.75,60,40,1272,5.5,44.723
1.25,0.75,60,-20,3132,5.5,-9.338
1.25,0.75,60,0,3132,5.5,10.984
1.25,0.75,60,20,3132,5.5,31.319
1.25,0.75,60,40,3132,5.5,51.67
1.25,0.75,60,0,5040,5.5,17.843
1.25,0.75,60,20,5040,5.5,38.358
1.25,0.75,60,40,5040,5.5,58.895
1.25,0.75,60,-20,1272,7.75,-16.575
1.25,0.75,60,0,1272,7.75,3.5105
1.25,0.75,60,20,1272,7.75,23.604
1.25,0.75,60,-20,3132,7.75,-11.538
1.25,0.75,60,0,3132,7.75,8.6664
1.25,0.75,60,20,3132,7.75,28.888
1.25,0.75,60,0,5040,7.75,14.019
1.25,0.75,60,20,5040,7.75,34.363
1.25,0.75,60,-20,1272,10,-17.067
1.25,0.75,60,0,1272,10,2.9894
1.25,0.75,60,40,1272,10,43.116
